Unique_User_ID,Age,Dependents,Employment_Status,City_Tier,Month,Monthly_Income,Rent,Loan_Repayment,Insurance,Subscriptions,Groceries,Travel,Going_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Total_Expenses,Monthly_Savings,Savings,Investments,Net_Worth,Financial_Goals,Needs,Wants,Savings_Investment_Total,Debt,Total_Liabilities
BBUK000017,63,0,Part-time,3,3,1000,343,27,37,10,137,69,34,27,69,37,8,41,839,161,433,733,-5891,Buy a house,699,140,1166,2691,7056
BBUK000018,65,0,Part-time,1,5,3329,0,554,142,37,528,369,132,106,296,142,32,158,2496,833,6684,13424,235792,Retirement,1915,580,20108,8625,125476
BBUK000019,67,1,Part-time,2,3,4425,0,406,164,73,800,303,151,121,339,164,109,182,2811,1613,22253,46954,251221,Emergency fund,2163,648,69207,4852,94259
BBUK000020,69,0,Full-time,2,12,5446,1470,99,144,64,534,267,134,107,299,144,32,224,3519,1927,25317,32383,46209,Retirement,2883,636,57700,9854,11491
BBUK000021,19,0,Self-employed,2,9,4617,1271,33,69,55,462,231,208,162,259,69,28,139,2987,1631,275,72,-3456,Retirement,2330,656,347,3296,3803
BBUK000022,47,1,Full-time,2,6,1974,544,93,53,14,261,99,49,40,111,30,36,59,1387,587,7206,5267,2433,Pay off debt,1186,202,12472,9262,10040
BBUK000023,33,1,Full-time,2,9,1484,0,371,29,14,255,97,87,68,108,29,35,58,1149,334,3341,1017,165366,Start a business,885,265,4358,11627,115238
BBUK000024,32,0,Part-time,2,5,2217,709,64,39,18,258,129,116,90,144,39,15,77,1698,519,5116,1291,-3190,Retirement,1345,353,6407,6436,9597
BBUK000025,31,2,Full-time,3,10,1338,381,48,23,11,250,76,69,53,76,23,27,46,1081,257,1452,571,-4787,Retirement,873,209,2023,4767,6809
BBUK000026,65,1,Full-time,3,10,8688,1915,38,299,92,1011,383,191,153,383,207,138,322,5131,3557,14285,15412,21347,Retirement,4220,911,29697,3838,8350
BBUK000027,63,0,Full-time,3,12,3838,0,158,171,44,633,316,158,127,316,171,38,266,2398,1440,8297,10679,364432,Emergency fund,1677,721,18976,2014,36515
BBUK000028,30,1,Full-time,2,11,3434,946,129,52,24,454,172,155,120,193,52,62,145,2504,930,3413,888,-10625,Education,1991,513,4301,12895,14927
BBUK000029,41,1,Retired,2,12,15827,0,700,938,289,3174,1202,601,481,1347,361,433,1010,10536,5291,16664,13890,-7210,Retirement,7674,2862,30554,3317,170064
BBUK000030,61,2,Full-time,1,6,7468,2418,30,304,94,1279,546,195,156,437,211,140,328,6138,1330,9231,13280,18630,Emergency fund,5147,991,22511,3036,3882
BBUK000031,26,0,Self-employed,3,9,1578,404,56,24,11,162,81,73,57,81,24,10,68,1051,527,597,125,-4949,Buy a house,810,241,722,5612,5671
BBUK000032,54,1,Unemployed,1,10,1399,465,5,40,10,198,105,37,30,84,40,27,45,1087,312,3544,5302,6599,Start a business,922,165,8846,513,2247
BBUK000033,43,2,Full-time,1,8,6996,2045,61,257,79,1082,462,165,132,369,99,119,198,5068,1928,10853,9618,10570,Travel,4309,759,20471,6111,9901
BBUK000034,71,0,Full-time,2,5,7589,2448,21,347,107,890,445,223,178,499,240,53,374,5826,1763,15387,36390,49278,Travel,4767,1059,51777,2146,2500
BBUK000035,60,4,Full-time,2,8,10261,2281,12,323,100,1891,415,207,166,464,224,149,249,6481,3780,17798,26047,40891,Buy a house,5594,887,43846,1220,2955
BBUK000036,31,0,Retired,2,8,2712,789,47,43,20,287,143,129,100,161,43,17,86,1866,845,1570,405,-5306,Pay off debt,1473,393,1974,4691,7280
BBUK000037,66,3,Part-time,2,9,1744,442,58,43,11,315,80,40,32,90,43,29,48,1232,511,4593,9492,5880,Retirement,1068,164,14085,5750,8205
BBUK000038,64,2,Part-time,3,10,3799,1148,10,124,32,753,230,115,92,230,124,83,138,3077,722,4513,9436,10607,Retirement,2608,468,13949,1015,3342
BBUK000039,30,1,Self-employed,2,10,5337,1502,49,82,66,721,273,246,191,306,82,98,229,3845,1492,7313,3137,325,Retirement,3004,841,10450,4865,10125
BBUK000040,48,1,Self-employed,1,6,3617,1360,160,118,31,579,307,110,88,246,66,79,184,3327,289,4289,2675,-10315,Pay off debt,2792,535,6964,16048,17280
BBUK000041,64,0,Full-time,1,12,9834,3130,138,394,121,1010,707,252,202,565,273,61,303,7154,2680,26326,49806,59536,Retirement,5993,1161,76132,13780,16597
BBUK000042,31,1,Full-time,1,12,5868,1214,271,59,47,517,274,176,137,219,59,70,164,3208,2660,12147,4544,-15521,Invest more,2574,634,16691,27127,32212
BBUK000043,32,0,Full-time,1,5,1352,379,338,18,9,122,86,55,43,68,18,7,37,1180,172,397,87,-39245,Buy a house,1003,177,484,39630,39728
BBUK000044,27,2,Part-time,3,2,3386,1006,33,60,28,660,201,181,141,201,60,72,121,2766,620,1504,437,-8897,Buy a house,2214,551,1942,3292,10839
BBUK000045,18,1,Full-time,1,4,2662,731,137,35,16,311,165,106,82,132,35,42,71,1865,797,40,13,-17768,Buy a house,1523,342,53,13734,17821
BBUK000046,46,0,Self-employed,2,6,2672,759,57,75,19,276,138,69,55,155,41,17,83,1744,928,4257,4052,-932,Emergency fund,1463,282,8309,5705,9241
BBUK000047,18,0,Full-time,1,5,2049,791,61,38,18,255,179,115,89,143,38,15,107,1851,199,6,1,-9760,Emergency fund,1450,401,7,6149,9767
BBUK000048,51,1,Full-time,3,6,7453,0,195,411,126,1390,526,263,211,526,284,190,316,4438,3015,26370,33894,172325,Retirement,3311,1127,60265,7997,36633
BBUK000049,42,1,Part-time,1,2,1020,226,67,20,5,96,51,18,15,41,11,13,22,584,435,3796,2474,-539,Pay off debt,504,80,6270,6650,6809
BBUK000050,28,2,Part-time,2,5,2102,434,204,24,11,259,79,71,55,88,24,28,66,1343,759,4046,1697,-15227,Buy a house,1108,235,5744,20445,20971
BBUK000051,38,0,Unemployed,1,2,1931,0,335,40,19,269,189,67,54,151,40,16,81,1261,670,1395,871,89907,Invest more,965,296,2267,3728,78058
BBUK000052,18,1,Full-time,1,1,2429,601,233,29,14,256,136,87,68,109,29,35,58,1654,775,31,11,-23399,Buy a house,1373,281,42,23258,23442
BBUK000053,26,1,Part-time,1,1,1000,331,42,16,7,141,75,48,37,60,16,19,45,838,162,607,266,-4708,Start a business,670,168,873,4209,5581
BBUK000054,45,1,Self-employed,1,9,7103,2591,91,326,100,1103,585,209,167,468,125,150,251,6167,936,6318,4370,-2822,Education,5206,961,10688,9058,13510
BBUK000055,22,0,Full-time,3,10,2149,421,112,25,12,168,84,76,59,84,25,10,71,1148,1001,1031,256,-11498,Retirement,897,251,1287,11211,12784
BBUK000056,60,0,Full-time,2,3,8414,0,533,603,186,1546,773,386,309,866,417,93,464,6175,2239,8119,13262,260316,Pay off debt,4521,1654,21381,6311,123685
BBUK000057,32,2,Part-time,1,9,3332,1155,72,56,26,611,261,168,130,209,56,67,112,2923,409,1799,873,-5388,Pay off debt,2383,540,2672,7215,8061
BBUK000058,71,2,Full-time,3,11,3981,0,438,133,35,810,247,123,99,247,133,89,207,2560,1420,6071,9400,186694,Retirement,1998,563,15471,9475,95212
BBUK000059,27,0,Retired,1,10,1161,249,29,12,6,80,56,36,28,45,12,5,24,582,578,1412,450,-3611,Education,466,116,1863,2947,5474
BBUK000060,54,0,Student,2,11,1946,554,46,54,14,201,101,50,40,113,54,56,85,1369,577,2748,5323,-418,Education,1140,230,8071,4642,8489
BBUK000061,47,1,Full-time,1,3,2230,691,34,60,16,294,156,56,45,125,33,40,94,1643,587,3959,2881,-477,Travel,1371,272,6840,3396,7317
BBUK000062,71,1,Self-employed,1,10,6408,0,809,357,110,1210,642,229,183,513,247,165,275,4741,1667,13397,19740,-75499,Pay off debt,3687,1054,33137,11982,184376
BBUK000063,53,0,Full-time,2,5,4999,1524,56,150,67,554,277,139,111,310,150,33,233,3604,1395,9740,19494,22681,Emergency fund,2944,660,29233,5579,6552
BBUK000064,68,0,Self-employed,2,12,10612,3253,78,461,142,1183,591,296,237,662,319,71,497,7791,2821,15157,32235,37965,Pay off debt,6383,1408,47392,7777,9427
BBUK000065,44,3,Full-time,1,4,3472,938,42,82,21,593,212,76,60,169,45,54,91,2383,1088,3605,3354,906,Buy a house,2051,333,6959,4237,6054
BBUK000066,30,0,Full-time,2,9,1441,430,111,23,11,156,78,70,55,88,23,9,47,1102,339,950,189,-12836,Buy a house,888,214,1138,11139,13975
BBUK000067,28,0,Full-time,3,2,4386,0,315,146,117,976,488,439,342,488,146,59,410,3926,460,1329,365,209337,Retirement,2423,1503,1694,9497,64424
BBUK000068,68,0,Full-time,1,6,15677,0,676,1202,370,3082,2157,770,616,1726,832,185,925,12541,3136,32464,60565,129614,Emergency fund,8996,3544,93029,10069,153797
BBUK000069,29,1,Self-employed,2,10,2096,594,66,32,15,285,108,97,76,121,32,39,91,1555,541,2547,450,-4422,Education,1234,322,2997,6573,7419
BBUK000070,60,0,Self-employed,3,7,4800,1161,112,125,56,465,232,116,93,232,125,28,139,2885,1915,8078,16402,12189,Buy a house,2388,497,24480,11201,12291
BBUK000071,48,1,Full-time,2,2,2954,625,12,61,16,300,114,57,45,127,34,41,95,1528,1427,4261,3701,5969,Retirement,1268,259,7961,1176,1992
BBUK000072,34,0,Full-time,1,10,2828,597,181,29,13,192,135,87,67,108,29,12,58,1507,1320,3854,1142,-15891,Emergency fund,1228,279,4996,18117,20887
BBUK000073,41,1,Part-time,2,10,1873,418,105,41,11,201,76,38,30,85,23,27,64,1120,754,1635,1573,-8324,Buy a house,946,173,3208,10493,11532
BBUK000074,64,1,Self-employed,2,6,6843,0,352,378,116,1279,484,242,194,543,262,174,407,4431,2413,23070,56193,267192,Buy a house,3278,1153,79263,6437,78413
BBUK000075,44,1,Full-time,2,12,6292,0,567,409,126,1383,524,262,210,587,157,189,314,4726,1566,12811,10191,-48691,Buy a house,3605,1121,23002,2073,138735
BBUK000076,68,2,Full-time,3,4,7703,2150,26,335,103,1410,430,215,172,430,232,155,361,6021,1682,5402,9268,6443,Emergency fund,4997,1023,14670,2643,8228
BBUK000077,72,0,Self-employed,3,4,5158,1296,121,140,62,518,259,130,104,259,140,31,155,3215,1943,20067,27770,35286,Buy a house,2661,555,47837,12119,12550
BBUK000078,35,1,Full-time,3,11,2573,525,242,31,15,277,105,52,42,105,31,38,63,1526,1046,5025,4129,-16163,Education,1312,214,9154,24150,25318
BBUK000079,48,1,Self-employed,3,7,2851,0,713,94,24,458,173,87,69,173,52,62,146,2051,800,7856,6830,-123089,Buy a house,1656,395,14686,1942,242293
BBUK000080,48,3,Full-time,1,4,4321,0,637,161,71,1167,417,149,119,333,89,107,250,3501,820,6331,5520,266893,Pay off debt,2745,756,11851,6365,149700
BBUK000081,49,0,Full-time,1,11,1528,0,373,46,12,171,120,43,34,96,26,10,51,981,547,2908,3082,455706,Travel,793,188,5991,9880,78407
BBUK000082,22,1,Retired,1,12,3808,1089,61,53,25,464,246,158,123,197,53,63,105,2636,1172,1411,347,-7185,Buy a house,2127,509,1758,6057,8942
BBUK000083,39,0,Full-time,1,5,5301,1640,306,79,63,529,370,132,106,296,79,32,222,3855,1446,5749,6542,-19522,Emergency fund,3183,672,12291,30564,31814
BBUK000084,51,0,Full-time,1,7,10264,3148,16,396,122,1015,711,254,203,569,274,61,426,7194,3069,15807,21358,31537,Pay off debt,5905,1290,37165,1590,5627
BBUK000085,71,0,Full-time,1,2,5039,0,207,255,113,945,661,236,189,529,255,57,397,3844,1195,21681,27434,107665,Emergency fund,2644,1200,49115,3615,46380
BBUK000086,31,0,Full-time,1,5,9172,2944,96,256,114,950,665,427,332,532,142,57,285,6801,2372,7073,1768,-2126,Pay off debt,5376,1425,8841,9551,10967
BBUK000087,55,4,Part-time,3,3,1238,226,20,24,6,206,45,23,18,45,24,16,38,694,544,3554,4336,3762,Pay off debt,591,103,7890,2048,4128
BBUK000088,62,0,Full-time,1,11,6349,0,443,308,95,789,552,197,158,442,213,47,237,3479,2870,11651,20327,-1523,Buy a house,2572,907,31978,5132,103014
BBUK000089,71,2,Full-time,3,2,2675,0,669,73,19,445,136,68,54,136,73,49,81,1803,872,8163,12660,157788,Buy a house,1527,277,20824,6192,220005
BBUK000090,28,2,Part-time,2,10,1000,0,250,15,7,163,50,45,35,56,15,18,42,695,305,623,158,76498,Pay off debt,547,148,781,6558,209676
BBUK000091,57,0,Unemployed,1,2,3091,880,37,77,20,284,199,71,57,159,77,17,119,1995,1096,11274,16675,18784,Emergency fund,1649,346,27949,3650,9166
BBUK000092,36,1,Full-time,2,6,4864,1449,321,79,63,696,263,132,105,295,79,95,158,3736,1128,7691,7615,-20863,Buy a house,3172,564,15305,32107,36168
BBUK000093,43,0,Full-time,1,1,1739,520,68,45,12,168,117,42,34,94,25,10,50,1184,554,1789,1041,-6548,Invest more,1000,184,2830,6787,9378
BBUK000094,18,2,Part-time,1,5,2391,717,104,35,16,379,162,104,81,129,35,42,97,1900,491,10,3,-11798,Buy a house,1537,363,12,10383,11810
BBUK000095,59,0,Part-time,2,2,6654,0,372,415,128,1065,533,266,213,597,288,64,447,4388,2266,7830,16343,226867,Emergency fund,3120,1268,24174,6092,83758
BBUK000096,19,1,Part-time,3,10,1000,236,90,14,7,124,47,42,33,47,14,17,40,711,289,67,28,-12873,Invest more,571,141,94,8998,12967
BBUK000097,39,0,Retired,1,2,2559,796,35,39,18,257,180,64,51,144,39,15,108,1745,815,4264,3812,3993,Retirement,1432,313,8076,3453,4084
BBUK000098,46,1,Full-time,1,8,1593,504,29,44,11,214,114,41,32,91,24,29,68,1203,390,2237,1766,438,Invest more,1004,198,4003,2932,3565
BBUK000099,56,0,Full-time,3,7,2788,840,69,91,24,336,168,84,67,168,91,20,141,2099,689,4131,8610,367,Retirement,1715,383,12741,6852,12374
BBUK000100,45,0,Full-time,3,4,1357,0,339,51,13,188,94,47,38,94,28,11,79,984,374,1308,1072,135770,Pay off debt,769,215,2380,5134,201421
BBUK000101,66,0,Unemployed,1,10,2061,491,90,43,11,158,111,40,32,89,43,9,47,1162,898,3013,7903,-3869,Emergency fund,988,174,10916,8954,14786
BBUK000102,25,2,Full-time,1,12,1932,0,483,36,17,389,166,107,83,133,36,43,71,1563,369,649,114,266145,Invest more,1219,344,763,11756,116452
BBUK000103,33,2,Full-time,3,9,3849,1032,259,62,29,677,206,186,144,206,62,74,124,3061,788,1607,688,-25491,Travel,2496,565,2296,25892,27787
BBUK000104,32,2,Full-time,3,9,3715,962,96,58,27,631,192,173,135,192,58,69,115,2708,1007,9886,2208,-2659,Retirement,2181,527,12095,9569,14754
BBUK000105,40,2,Part-time,1,7,1000,280,82,14,6,148,63,23,18,51,14,16,38,751,249,991,822,-18230,Pay off debt,641,110,1813,8178,20043
BBUK000106,18,0,Full-time,3,8,1751,449,82,27,13,180,90,81,63,90,27,11,75,1187,564,28,14,-11352,Retirement,919,268,43,8191,11395
BBUK000107,42,0,Full-time,2,8,6675,2083,50,295,91,757,379,189,151,424,114,45,227,4807,1869,18876,8088,21445,Retirement,3996,810,26964,5023,5519
BBUK000108,40,1,Full-time,1,9,4040,1471,41,71,57,626,332,119,95,266,71,85,199,3433,607,1567,1146,-4449,Travel,2830,602,2713,4085,7162
BBUK000109,51,1,Full-time,1,3,8989,2509,34,316,97,1068,567,202,162,453,219,146,243,6016,2973,11767,16562,10198,Retirement,5085,931,28329,3413,18131
BBUK000110,51,0,Full-time,2,10,6611,0,807,435,134,1116,558,279,223,625,301,67,335,4881,1730,11015,11814,156773,Invest more,3687,1194,22829,5454,193637
BBUK000111,34,0,Full-time,1,5,3285,1178,48,57,27,380,266,171,133,213,57,23,114,2666,619,2107,682,-3099,Education,2115,551,2789,4772,5888
BBUK000112,42,1,Part-time,2,1,4814,0,278,234,104,1145,434,217,173,486,130,156,260,3617,1197,7523,4178,98963,Education,2689,928,11701,6488,59734
BBUK000113,47,1,Full-time,3,6,2783,0,272,107,28,521,197,99,79,197,59,71,166,1797,986,3490,3340,127002,Pay off debt,1346,450,6830,6013,59015
BBUK000114,66,1,Full-time,2,2,6256,1563,79,222,68,750,284,142,114,318,153,102,239,4034,2223,6821,11460,7329,Education,3357,676,18281,7890,10952
BBUK000115,22,0,Self-employed,2,4,4574,1211,53,66,53,440,220,198,154,247,66,26,185,2920,1654,1586,748,-3426,Emergency fund,2241,678,2334,5266,5760
BBUK000116,53,0,Retired,1,3,4260,0,1065,207,92,765,536,191,153,429,207,46,230,3919,341,4020,5434,78894,Start a business,3039,880,9454,10371,332976
BBUK000117,22,1,Full-time,1,3,1470,381,170,18,9,162,86,55,43,69,18,22,52,1086,384,520,164,-18050,Invest more,893,193,684,17014,18735
BBUK000118,33,0,Full-time,3,5,2925,835,27,50,23,334,167,150,117,167,50,20,100,2041,884,3971,2680,3514,Buy a house,1584,458,6650,2734,3137
BBUK000119,43,1,Full-time,1,6,1654,630,79,55,14,268,142,51,41,114,30,37,61,1522,132,393,499,-11045,Emergency fund,1298,223,892,7939,11938
BBUK000120,65,1,Full-time,2,9,1975,546,33,54,14,262,99,50,40,111,54,36,60,1357,619,4696,9575,8343,Education,1154,202,14271,3272,5928
BBUK000121,37,0,Full-time,1,1,5435,1395,201,67,54,450,315,112,90,252,67,27,135,3166,2269,7995,5962,-8391,Pay off debt,2649,517,13958,20140,22348
BBUK000122,46,2,Full-time,1,10,5313,1711,13,149,66,905,386,138,110,309,83,99,232,4203,1110,7578,7138,11552,Buy a house,3502,701,14717,1284,3165
BBUK000123,51,1,Full-time,2,2,5775,1608,11,158,70,772,292,146,117,327,158,105,175,3940,1835,14572,29065,35875,Retirement,3314,626,43637,1115,7761
BBUK000124,62,0,Part-time,1,11,4818,1596,28,139,62,515,360,129,103,288,139,31,154,3544,1274,4017,9556,9544,Invest more,2952,592,13573,2763,4029
BBUK000125,40,0,Student,3,5,1000,189,250,11,5,76,38,19,15,38,11,21,32,705,295,491,370,-38546,Invest more,619,86,861,37921,39407
BBUK000126,50,1,Full-time,2,4,6539,0,163,403,124,1365,517,258,207,579,155,186,434,4391,2148,12444,10429,253859,Buy a house,3161,1230,22873,3958,34797
BBUK000127,66,0,Full-time,2,7,1848,0,462,84,22,310,155,78,62,174,84,19,130,1578,269,1837,4151,-11900,Education,1225,354,5988,6525,125859
BBUK000128,43,0,Part-time,2,4,1513,419,17,41,11,152,76,38,30,85,23,9,64,966,547,1987,2300,884,Retirement,793,174,4286,1717,3402
BBUK000129,72,0,Full-time,3,1,1554,0,388,47,12,176,88,44,35,88,47,11,53,989,565,4420,5386,123645,Invest more,810,179,9806,4631,249040
BBUK000130,40,0,Part-time,1,4,1000,0,250,14,6,92,64,23,18,51,14,5,27,565,435,1545,1337,250086,Buy a house,464,101,2882,5544,57079
BBUK000131,43,0,Full-time,1,11,4464,1493,50,130,58,482,337,120,96,270,72,29,144,3281,1183,4588,4276,3209,Travel,2727,554,8864,5008,5655
BBUK000132,19,1,Full-time,1,9,5975,1792,111,87,69,763,405,260,202,324,87,104,173,4378,1597,381,88,-13299,Invest more,3511,867,469,11092,13768
BBUK000133,48,1,Full-time,1,9,11040,0,525,674,207,2281,1210,432,346,968,259,311,518,7732,3308,10951,11131,-6458,Emergency fund,5745,1988,22082,5526,122985
BBUK000134,45,1,Retired,1,10,1667,464,39,40,10,198,105,37,30,84,22,27,45,1103,564,3784,3704,1424,Retirement,938,165,7488,3920,6064
BBUK000135,42,1,Full-time,1,3,3811,1053,20,92,24,449,238,85,68,190,51,61,143,2473,1338,5028,4361,4265,Buy a house,2059,415,9389,1987,5123
BBUK000136,54,0,Full-time,2,9,15414,3856,14,547,168,1402,701,351,280,785,379,84,421,8989,6425,43155,58808,93800,Invest more,7488,1501,101963,1386,8163
BBUK000137,49,0,Full-time,2,1,6519,2100,91,298,92,764,382,191,153,428,115,46,229,4887,1632,15101,9727,13811,Retirement,4069,817,24828,9057,11018
BBUK000138,72,0,Full-time,1,6,11488,3548,65,446,137,1145,801,286,229,641,309,69,343,8020,3468,23291,53189,65391,Education,6704,1316,76481,6459,11090
BBUK000139,41,1,Full-time,2,1,3046,1084,58,106,28,520,197,99,79,221,59,71,118,2639,407,1302,888,-10192,Invest more,2237,402,2190,5750,12383
BBUK000140,43,1,Full-time,2,9,5744,0,673,191,85,932,353,177,141,396,106,127,212,3393,2352,5954,3592,82317,Retirement,2637,756,9546,3819,162592
BBUK000141,65,1,Full-time,2,11,3066,874,145,86,22,419,159,79,64,178,86,57,133,2302,764,6187,10583,-3917,Buy a house,1940,362,16769,14496,20686
BBUK000142,46,0,Self-employed,1,9,5503,0,349,308,137,1141,798,285,228,639,171,68,479,4604,899,6789,6795,193227,Retirement,3155,1449,13584,7289,76411
BBUK000143,32,0,Retired,1,7,1589,0,397,40,18,264,185,119,92,148,40,16,79,1398,191,372,93,44810,Education,1015,383,465,10572,94239
BBUK000144,48,1,Full-time,3,5,6663,0,208,441,136,1494,566,283,226,566,170,204,475,4769,1894,10249,9484,357547,Pay off debt,3422,1347,19733,7129,41316
BBUK000145,47,0,Full-time,2,7,9240,3360,141,476,147,1222,611,305,244,684,183,73,513,7960,1280,7287,4272,-17554,Buy a house,6506,1454,11559,14115,29113
BBUK000146,41,1,Full-time,2,6,2639,707,67,69,18,340,129,64,51,144,39,46,77,1752,888,5161,4636,-128,Travel,1489,262,9797,6697,9925
BBUK000147,48,1,Self-employed,1,7,4984,0,1180,144,64,703,373,133,107,298,80,96,224,3402,1583,11526,8128,-144318,Buy a house,2725,677,19654,2135,291835
BBUK000148,51,1,Full-time,1,6,2887,938,80,82,21,399,212,76,61,169,82,54,127,2301,586,2263,4084,-3509,Buy a house,1932,369,6347,8017,9856
BBUK000149,74,2,Retired,2,1,5969,0,521,252,112,1532,467,233,187,523,252,168,280,4527,1441,22784,44549,-61247,Pay off debt,3528,999,67333,1120,128580
BBUK000150,22,2,Unemployed,2,9,3417,986,61,54,25,588,179,161,125,201,54,65,151,2649,768,444,139,-11148,Emergency fund,2115,534,583,6136,11730
BBUK000151,70,0,Full-time,2,2,4040,0,801,179,79,662,331,165,132,371,179,40,199,3137,903,3023,7034,83110,Education,2429,708,10057,2155,197127
BBUK000152,46,0,Full-time,2,6,2006,676,72,66,17,246,123,61,49,138,37,15,74,1575,431,5520,4457,261,Invest more,1324,251,9976,7243,9715
BBUK000153,40,0,Part-time,2,9,5886,1954,219,107,85,711,355,178,142,398,107,43,213,4511,1375,5159,4193,-16502,Travel,3750,760,9352,21860,25853
BBUK000154,53,1,Full-time,2,3,5486,1687,48,166,74,810,307,153,123,343,166,110,184,4169,1317,7517,14570,14742,Pay off debt,3513,656,22087,4756,7345
BBUK000155,24,0,Unemployed,1,11,3747,1297,155,63,29,418,293,188,146,234,63,25,176,3089,658,1412,365,-15644,Invest more,2432,657,1776,15543,17420
BBUK000156,61,0,Full-time,1,5,3364,0,268,172,45,638,446,159,128,357,172,38,268,2692,672,6692,9852,135371,Emergency fund,1914,778,16543,8947,53616
BBUK000157,23,2,Part-time,3,8,1000,253,24,15,7,166,51,46,35,51,15,18,43,724,276,672,364,-17640,Pay off debt,573,151,1036,2432,18676
BBUK000158,42,0,Full-time,1,8,7747,2369,9,298,92,764,535,191,153,428,115,46,321,5319,2428,13844,11040,22185,Retirement,4349,970,24884,891,2699
BBUK000159,29,1,Full-time,2,3,2074,566,119,31,14,272,103,93,72,115,31,37,86,1539,535,1956,905,-15192,Emergency fund,1232,307,2861,11880,18054
BBUK000160,35,0,Part-time,3,2,8544,1939,59,209,93,776,388,194,155,388,116,47,233,4597,3947,16780,14333,22789,Retirement,3767,830,31113,5864,8324
BBUK000161,45,1,Self-employed,2,9,1465,0,366,60,15,292,111,55,44,124,33,40,93,1234,231,1028,752,212746,Education,982,252,1780,1157,105334
BBUK000162,18,1,Full-time,1,1,2392,783,57,38,18,333,177,114,88,141,38,45,76,1908,484,17,5,-9340,Travel,1542,366,22,5693,9362
BBUK000163,69,0,Full-time,3,10,7629,2036,46,318,98,814,407,204,163,407,220,49,244,5005,2624,43155,42977,79797,Buy a house,4134,871,86131,4641,6334
BBUK000164,61,0,Full-time,3,10,4336,1059,33,114,51,424,212,106,85,212,114,25,127,2563,1773,9755,16122,18213,Emergency fund,2109,453,25877,3327,7664
BBUK000165,73,0,Full-time,1,2,5230,0,181,230,102,850,595,213,170,476,230,51,255,3352,1878,22583,27986,339060,Buy a house,2374,978,50569,2601,41226
BBUK000166,22,0,Full-time,2,4,5660,1753,277,96,76,637,319,287,223,357,96,38,268,4427,1233,1355,402,-26361,Emergency fund,3445,982,1757,27732,28119
BBUK000167,28,2,Full-time,3,2,8204,2181,159,236,105,1431,436,393,305,436,131,157,366,6336,1869,4739,836,-11767,Pay off debt,4992,1344,5576,15896,17343
